Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,none,robust,none,xgboost,1.0,0.8741496598639455,1.0,1.0,0.4477611940298507,0.3263598326359833,1.0,0.7612197433026102
none,none,robust,none,gradboost,0.9591836734693876,0.8401360544217688,0.8554216867469879,0.7547015535568274,0.2769230769230769,0.1961441743503772,0.985710472936906,0.7917133258678611
none,none,robust,none,histgradboost,1.0,0.8639455782312925,1.0,1.0,0.375,0.261744966442953,1.0,0.7833577396847273
none,none,robust,none,ada,0.9056122448979592,0.8571428571428571,0.645367412140575,0.5388877488200288,0.3636363636363636,0.2613065326633166,0.9319686132166116,0.7502799552071668
none,none,robust,none,catboost,0.9897959183673468,0.8571428571428571,0.967391304347826,0.9391233766233766,0.2758620689655172,0.1753794266441821,0.9999359453400236,0.8069601171504867
none,none,robust,pca_95%,logreg,0.8996598639455783,0.8741496598639455,0.5986394557823129,0.4713638236505974,0.5066666666666667,0.4106400665004156,0.8636329667983347,0.8257386510466018
none,none,robust,pca_95%,rf,1.0,0.8469387755102041,1.0,1.0,0.1176470588235294,0.0661577608142493,1.0,0.7601429925058144
none,none,robust,pca_95%,svc,0.9149659863945578,0.8605442176870748,0.6453900709219859,0.4886410574142916,0.3278688524590163,0.2186711522287636,0.9484893776022204,0.8190197260745973
none,none,robust,pca_95%,knn_5,0.8732993197278912,0.8537414965986394,0.4063745019920319,0.2756183745583039,0.2181818181818181,0.1318681318681318,0.910053912672147,0.6586269273839263
none,none,robust,pca_95%,xgboost,1.0,0.8571428571428571,1.0,1.0,0.34375,0.2399328859060402,1.0,0.7669049875096907
none,none,robust,pca_95%,gradboost,0.9659863945578232,0.8401360544217688,0.8823529411764706,0.7959183673469388,0.2539682539682539,0.1746431570109152,0.9959805700864736,0.7886984236368334
none,none,robust,pca_95%,histgradboost,1.0,0.8537414965986394,1.0,1.0,0.3174603174603174,0.218303946263644,1.0,0.7581187010078387
none,none,robust,pca_95%,ada,0.9166666666666666,0.8435374149659864,0.7065868263473054,0.6268900694728239,0.3783783783783784,0.302828618968386,0.950512437279812,0.7036781807218537
none,none,robust,pca_95%,catboost,0.9923469387755102,0.8503401360544217,0.9757412398921832,0.95437031028189,0.1851851851851851,0.1099830795262267,0.9999679726700116,0.7783616159875959
none,none,robust,lda_1,logreg,0.8971088435374149,0.8639455782312925,0.6032786885245902,0.4916752312435766,0.4594594594594595,0.367720465890183,0.8677217892601685,0.8080799379791542
none,none,robust,lda_1,rf,1.0,0.8061224489795918,1.0,1.0,0.3870967741935484,0.3832923832923833,1.0,0.6751658196227066
none,none,robust,lda_1,svc,0.8971088435374149,0.8639455782312925,0.6032786885245902,0.4916752312435766,0.4594594594594595,0.367720465890183,0.7479395751040889,0.5938495994487036
none,none,robust,lda_1,knn_5,0.9081632653061223,0.8605442176870748,0.6625,0.5647540983606557,0.4533333333333333,0.3674147963424771,0.9360574356784456,0.689938840554742
none,none,robust,lda_1,xgboost,0.9081632653061223,0.8605442176870748,0.6666666666666666,0.5749385749385749,0.4810126582278481,0.4092792046396023,0.9380804953560372,0.7713842708243605
none,none,robust,lda_1,gradboost,0.9251700680272108,0.8537414965986394,0.7300613496932515,0.6332378223495702,0.4266666666666667,0.3458021612635079,0.9606197288352728,0.7650099061073306
none,none,robust,lda_1,histgradboost,0.9039115646258504,0.8639455782312925,0.6412698412698413,0.5386666666666666,0.4736842105263157,0.388704318936877,0.937560051243728,0.746834352657421
none,none,robust,lda_1,ada,0.91156462585034,0.8639455782312925,0.6687898089171974,0.5601148953631514,0.4736842105263157,0.388704318936877,0.8998879043450411,0.7886553536049616
none,none,robust,lda_1,catboost,0.9039115646258504,0.8639455782312925,0.64576802507837,0.5488829678212749,0.4736842105263157,0.388704318936877,0.9098537418597205,0.7779309156688776
