Sampling Method,Transformation Method,Scaling Method,Dim Reduction Method,Model Name,Accuracy Train,Accuracy Test,F1 Train,F-beta Train,F1 Test,F-beta Test,ROC AUC Train,ROC AUC Test
none,yeo_johnson,robust,none,knn_5,0.8154441453566622,0.7114274721046556,0.7429107101007734,0.7308007419728959,0.5980707395498392,0.5855194123819518,0.8986581223849534,0.7722336147958058
none,yeo_johnson,robust,none,xgboost,0.8978465679676986,0.7605489290752854,0.8601437258153677,0.859778127258044,0.6747953318237241,0.6762087624367255,0.9619143762458493,0.8413948020797117
none,yeo_johnson,robust,none,gradboost,0.7672947510094212,0.749134282416314,0.6833913202710127,0.6870494937336259,0.6634549208534067,0.6724258196061598,0.8486607050023568,0.8287102338939555
none,yeo_johnson,robust,pca_21,logreg,0.7418236877523553,0.7322046941131204,0.6319374490334341,0.6084707403815066,0.622286541244573,0.6021760206829689,0.8209786643968343,0.8128904980368219
none,yeo_johnson,robust,pca_21,rf,1.0,0.7865845838142875,1.0,1.0,0.6962395034684191,0.6680949686043064,1.0,0.8755083481784401
none,yeo_johnson,robust,pca_21,dt,1.0,0.7301526228036425,1.0,1.0,0.6347222222222222,0.6379939862542955,1.0,0.7108835207421911
none,yeo_johnson,robust,pca_21,knn_5,0.8154777927321669,0.7112992176478132,0.7429214325895369,0.7307163022968776,0.597820260854029,0.5851775120067803,0.8986198286553098,0.7721569591181044
none,yeo_johnson,robust,pca_21,xgboost,0.9177321668909825,0.7668333974605618,0.8874050195717246,0.8872918666388031,0.6819454163750875,0.6806264438833074,0.97363255046898,0.8379254779407185
none,yeo_johnson,robust,pca_21,gradboost,0.7691117092866756,0.7422085417468257,0.6777496008265238,0.6655173636976338,0.6424759871931698,0.6314855160171065,0.848927970139035,0.8200047536429498
rus,none,standard,none,logreg,0.7256393001345895,0.7147620879825574,0.6790269248937175,0.7840360813929096,0.6702253855278767,0.7784843667196608,0.8113773624705698,0.8011405911844414
rus,none,standard,none,rf,0.9254374158815613,0.7569578042836989,0.9074120498036267,0.9922122649797928,0.7212005296454318,0.8436842174943403,0.9957118078063537,0.8625386746650933
rus,none,standard,none,dt,0.9260094212651413,0.7039887136077979,0.9080570305640339,0.9922715467098718,0.6412806963009015,0.7135559398696288,0.941705105773819,0.7074138073084358
rus,none,standard,none,knn_5,0.7745289367429341,0.7068103116583301,0.7311750310907851,0.8297804533818024,0.6535313731433767,0.744099609737967,0.8674476219484034,0.7737918909476369
rus,none,standard,none,xgboost,0.8512113055181696,0.7420802872899833,0.8228365384615384,0.9349315068493151,0.700877584411721,0.8117785817463787,0.9419469988123084,0.8361256974746519
rus,none,standard,none,gradboost,0.7433378196500673,0.7204052840836219,0.7116286103130197,0.8524530773196596,0.6888381387382243,0.8283119009268307,0.8477155192758394,0.8271639550988837
rus,none,standard,pca_21,logreg,0.7256729475100943,0.7142490701551879,0.6771728370619678,0.7777144236386342,0.6676610978520287,0.7713149522799576,0.8106653959573843,0.8010676868926294
rus,none,standard,pca_21,rf,0.9230820995962314,0.7469539566499935,0.9047658723546076,0.9919682383528916,0.7111696676914069,0.8357351754072545,0.9970459387898241,0.8550576680026319
rus,none,standard,pca_21,dt,0.9194481830417227,0.6915480312940875,0.9007133377571332,0.9915919754994239,0.6234538907155159,0.6890832368249403,0.9365357086050581,0.6923100199092419
rus,none,standard,pca_21,knn_5,0.7755720053835801,0.7047582403488521,0.7320854755784062,0.8298705483482305,0.6513177824901545,0.741989434282832,0.8675267898279531,0.7709525872954575
